,0
167,11848.410154761903
168,15276.294160319267
169,13635.492178571429
170,5191.96877056277
171,8087.811666666667
172,6584.652357142858
173,9755.359612443115
174,7104.839380952381
175,12755.112
176,12465.186214285714
177,8340.409166666666
178,15879.36759126984
179,11783.65380952381
180,10738.19924025974
181,7112.5646428571445
182,9472.058886138499
183,13465.978114702059
184,12678.134459878109
185,13582.972147917515
186,12930.826731729878
187,5930.2940292207795
188,10057.008194444445
189,10969.833773809525
190,15113.248292597407
191,12071.362276334772
192,14767.74108290403
193,16453.575
194,9773.158107142859
195,10115.283000000001
196,10885.713
197,9197.834666666668
198,2609.4816666666666
199,9269.461000000001
200,2045.7483333333332
201,10931.044547619047
202,16722.186666666665
203,15230.01393894994
204,13258.401228105226
205,8145.207202380952
206,15001.907178210675
207,591.396
208,7207.962666666667
209,15511.889416666665
210,10795.420000000002
211,9667.864000000001
212,13006.154684704179
213,7278.580384448882
214,10287.234156429528
215,13519.27188744589
216,15759.803682301357
217,13564.522547619046
218,18105.25525
219,9992.846190476192
220,2506.512666666666
221,6581.835825674324
222,3184.8266666666664
223,13981.870668470418
224,8066.906119047619
225,5066.483095238095
226,6820.05
227,10531.655952380952
228,10967.087666666666
229,12587.814552488204
230,12576.035
231,14938.518500000006
232,8242.092
233,13879.241757333502
234,14768.985999999999
235,8808.70436111111
236,6475.616999999999
237,7444.35757048507
238,19171.736412698414
239,6090.284833333334
240,7598.6385
241,8971.830000000002
242,701.927
243,16457.023075396824
244,11576.208833333332
245,10407.283173326674
246,12876.289816017315
247,8094.895702380952
248,7599.7477619047595
249,9564.945852688978
250,12928.872888888887
251,11679.887028919004
252,6600.949380952382
253,14505.150575298576
254,10933.298794817927
255,11010.912999999999
256,12983.696666666667
257,13183.585333333334
258,12494.234523809522
259,13418.298865079367
260,2222.6353333333336
261,10636.684269581354
262,14522.298115079366
263,10951.726713411268
264,11981.840976190473
265,11606.857569624819
266,6085.429821946172
267,17999.109642857144
268,11127.608055500054
269,12506.211195887443
270,12388.676491702743
271,14568.433086208957
272,13872.14
273,9799.377531746033
274,6681.555
275,15749.735436507935
276,16425.452355725283
277,7005.255186012156
